Usuario,Rating,Fecha,Descripcion,Local
Daniel Navas,3 estrellas,2 semanas atrás,"Lindos sabores de helados, pero las porciones son mínimas y se nota...no fue una buena experiencia...",San Lorenzo 47
Agus,5 estrellas,Hace 3 meses,"Estéticamente hermoso el lugar, la atención muy buena y sabores de helado muy ricos 🫶🏻…",San Lorenzo 47
Lucio Cantagallo,3 estrellas,Hace 2 meses,"El empleado Juan nos atendió excelente..
No así sus compañeros que no nos atendieron,cuando no estaban haciendo nada importante,juan muy amablemente nos cobro y atendió..
Felicitaciones a su empleado Juan..",San Lorenzo 47
Josefina González Reyes,5 estrellas,Hace 2 meses,"Fui ayer por la tarde, las chicas son re amorosas y atentas. Mantienen el lugar re ordenado y pulcro; y su atención es magnífica.",San Lorenzo 47
Becca,5 estrellas,Hace 3 meses,"Fuimos hace poco y Milagros nos atendió 10/10, super amorosa, da gusto ir a comprar, volveremos",San Lorenzo 47
Daniela Trinchieri,5 estrellas,Hace 3 meses,"Recomiendo el helado de mantecol, excelente atención de los chicos, y un lugar muy acogedor!",San Lorenzo 47
Agustín Martínez,5 estrellas,Hace un mes,"Juan es el mejor empleado del mundo, me explico todos los gustos, me dejo probar y me atendió de 10s, es un genio",San Lorenzo 47
Andrés Vecchiet,3 estrellas,2 semanas atrás,"Pongan un empleado más a la noche, pagamos y esperamos 20 minutos para que avance una fila de 4 personas.",San Lorenzo 47
Marcelo López,4 estrellas,Hace 2 meses,Es un lugar acogedor.. El inconveniente es el acceso esta en una calle muy concurrida,San Lorenzo 47
Giuliano,5 estrellas,Hace 2 meses,Muy buena atención,San Lorenzo 47
Ariel Rodriguez,5 estrellas,Hace 3 meses,Excelente atención! Me encantó el local,San Lorenzo 47
Natalia Gigena,5 estrellas,Hace 3 meses,La heladería más linda de nueva córdoba!!!,San Lorenzo 47
Wanda mesquida,5 estrellas,Hace 3 meses,Hermoso lugar muy buena la atencion,San Lorenzo 47
Melissa U.,5 estrellas,2 semanas atrás,None,San Lorenzo 47
Agustina Lucero,5 estrellas,3 semanas atrás,None,San Lorenzo 47
Carolina Marque,5 estrellas,Hace un mes,None,San Lorenzo 47
lucas gonzalez ortiz,5 estrellas,2 semanas atrás,"La atención muy servicial, atenta y rápida por parte del empleado, excelente. Quería comprar 3 bochas y me ofreció ponerlo en un vasito, lo cual está genial para no enchastrarse la mano con helado, muy bien, ah y además venía con una cuasi…",Av. Fuerza Aerea Argentina 1700 Local 23
Zalo Testa,5 estrellas,Hace 4 meses,Solo le falta su propio espacio para sentarse aunque está la zona de comidas dónde te podes ubicar cómod@! La atención muy bien.,Av. Fuerza Aerea Argentina 1700 Local 23
cecilia granero,5 estrellas,Hace 3 meses,"Siempre vamos y nos tratan genial. Excelente helado , mucha calidad",Av. Fuerza Aerea Argentina 1700 Local 23
Desirée Miranda (Dedé),4 estrellas,Hace 2 años,Una de las mejores heladerías de Córdoba. Variedad de sabores y buena atención. Consultar siempre por promociones vigentes. Aceptan todos los medios de pagos,Av. Fuerza Aerea Argentina 1700 Local 23
DIEGO PEREZ,5 estrellas,Hace 9 meses,Fuimos un Sábado casi en el horario de cierre y nos trataron excelente! Poco frecuente por estos tiempos. Los helados exquisitos como siempre. Me gusta que hayan modernizado la marca y los cambios son siempre positivos,Av. Fuerza Aerea Argentina 1700 Local 23
Marisa Falcoff,2 estrellas,Hace un año,"Han bajado su calidad,las cremas siempre fueron muy ricas con sabores definidos pero ahora no se distinguen ,parecen todas iguales.El baño de chocolate de los cucuruchos es tan delgado que se ven las cremas!!!sumado a la mala calidad de…",Av. Fuerza Aerea Argentina 1700 Local 23
Constanza Mensio Martinez,5 estrellas,Hace 9 meses,"Sin dudas el mejor helado , excelente atención y la renovación del lugar quedó increible. El flan con dulce de leche mi debilidad 😍 Sin dudas seguiré eligiendolos!…",Av. Fuerza Aerea Argentina 1700 Local 23
gabriela honorato,5 estrellas,Hace 9 meses,Excelente atención y hermoso el local todo renovado. y la calidad de helados única !,Av. Fuerza Aerea Argentina 1700 Local 23
Gabriel Ramos,5 estrellas,Hace 9 meses,"""Si por ir a esta heladería tuviera que ir al infierno, con gusto lo haría, porque así podría presumir a los demonios que estuve en el paraíso sin necesidad de entrar..."" Aguante el Kricoreo vieja no me importa nadaa 🫶🏻…",Av. Fuerza Aerea Argentina 1700 Local 23
DESIREE BUYSSE MINGUET,5 estrellas,Hace un año,"Exquisito helado y variedad de sabores inigualables. Realmente para repetir.
Los sabores de coco con dulce de leche, almendrado, chocolate roche y chocolate con almendras, todos deliciosos.",Av. Fuerza Aerea Argentina 1700 Local 23
Guadalupe Galvan,1 estrella,Hace un año,"Muy rico el helado,pero pésima atención, fuimos ayer a la tarde a la del dino,y me defraudo la falta de respeto sobre todo del que te toma el pedido",Av. Fuerza Aerea Argentina 1700 Local 23
Lujan Varela,5 estrellas,Hace 9 meses,Me encanta la remodelación que hicieron!!! .. y el mejor helado sin dudas!!,Av. Fuerza Aerea Argentina 1700 Local 23
Oscar Castellanos,4 estrellas,Hace 8 meses,"Riquisimos helados, y variedos gusto con precios accesibles.",Av. Fuerza Aerea Argentina 1700 Local 23
Virginia Diaz,5 estrellas,Hace 9 meses,"Hermosa renovación y excelente atención, riquísimos los helados",Av. Fuerza Aerea Argentina 1700 Local 23
Fer Martin,2 estrellas,Hace 2 años,"El helado delicioso, pero la cara de o*** y el mal genio del empleado que estaba hoy 5/10 a las 10hs en Dino Ruta 20 LE SACA TODO lo bueno! Y no es la primera vez 😒…",Av. Fuerza Aerea Argentina 1700 Local 23
Paula Molina,1 estrella,Hace 5 años,"La atención pésima, los helados muy ricos pero no vale la pena ir para que te atiendan con tanta mala predisposición. Hay más heladerías en la zona!",Av. Fuerza Aerea Argentina 1700 Local 23
Paola Peralta,5 estrellas,Hace 9 meses,Excelente calidad y atención.,Av. Fuerza Aerea Argentina 1700 Local 23
Sofía Kontos,3 estrellas,Hace 5 años,"Muy amables en la atención,morro el café estaba frio",Av. Fuerza Aerea Argentina 1700 Local 23
Santi Morra,5 estrellas,Hace 3 años,Muy ricos helados,Av. Fuerza Aerea Argentina 1700 Local 23
Luciano Oddo,5 estrellas,Hace 9 meses,Excelente,Av. Fuerza Aerea Argentina 1700 Local 23
Matias Orellano,1 estrella,Hace 4 años,Cierran 8: 45 modifiquen el horario para no ir al vicio,Av. Fuerza Aerea Argentina 1700 Local 23
Roberto Boterberg,4 estrellas,Hace 6 años,Helados bien ricos,Av. Fuerza Aerea Argentina 1700 Local 23
Marina Fernanda,5 estrellas,Hace 5 años,Helados irresistibles y deliciosos! 😋…,Av. Fuerza Aerea Argentina 1700 Local 23
Leonardo Baldi,5 estrellas,Hace un año,Son los mas ricos de Córdoba,Av. Fuerza Aerea Argentina 1700 Local 23
Claudia Zárate,4 estrellas,Hace 6 años,Muy rico helado!,Av. Fuerza Aerea Argentina 1700 Local 23
Fernando Giro,1 estrella,Hace 5 años,220 pesos un cuarto de helado...,Av. Fuerza Aerea Argentina 1700 Local 23
Tomas Franco,4 estrellas,Hace 5 años,Re ricos,Av. Fuerza Aerea Argentina 1700 Local 23
Favio AGUERO DIAZ,4 estrellas,Hace 6 años,Excelente productos...,Av. Fuerza Aerea Argentina 1700 Local 23
Ariel Andres Evisser,4 estrellas,Hace 5 años,Muy recomendable !!!,Av. Fuerza Aerea Argentina 1700 Local 23
Emi Oliva,5 estrellas,Hace 6 años,El mejor helado de córdoba,Av. Fuerza Aerea Argentina 1700 Local 23
Nalia Acuña,5 estrellas,Hace 7 años,Delicioso,Av. Fuerza Aerea Argentina 1700 Local 23
Cecilia Ludueña,4 estrellas,Hace 5 años,Muy ricos helados.,Av. Fuerza Aerea Argentina 1700 Local 23
margarita forte,5 estrellas,Hace un año,Esta bueno,Av. Fuerza Aerea Argentina 1700 Local 23
Marcela Foglizzo,5 estrellas,Hace 5 años,Riquísimas!,Av. Fuerza Aerea Argentina 1700 Local 23
Isabel de Lourdes Gonzalez,5 estrellas,Hace 3 años,Excelente,Av. Fuerza Aerea Argentina 1700 Local 23
Carlos Car,5 estrellas,Hace 6 años,Riquísimas,Av. Fuerza Aerea Argentina 1700 Local 23
Marina Lozano,1 estrella,Hace 8 meses,None,Av. Fuerza Aerea Argentina 1700 Local 23
Julieta Diaz,5 estrellas,Hace 9 meses,None,Av. Fuerza Aerea Argentina 1700 Local 23
Carlos Miranda,5 estrellas,Hace un año,None,Av. Fuerza Aerea Argentina 1700 Local 23
Francisco ElSoda,5 estrellas,Hace 3 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
German Garcia,5 estrellas,Hace 4 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Ariela Tapia,2 estrellas,Hace 5 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Facundo Mariano Garcia Lopez,5 estrellas,Hace 5 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Melina Collias,1 estrella,Hace 5 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Valentina Sayago,5 estrellas,Hace 5 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Julieta Villegas,4 estrellas,Hace 5 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Abril Garay,5 estrellas,Hace 6 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Vale Crespin,5 estrellas,Hace 6 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Valentina Torres,3 estrellas,Hace 6 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
adrian serantes,4 estrellas,Hace 6 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Ismael R,4 estrellas,Hace 6 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Agustin Muras,5 estrellas,Hace 6 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Pablo Tissera,5 estrellas,Hace 7 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Soledad Venier,4 estrellas,Hace 8 años,None,Av. Fuerza Aerea Argentina 1700 Local 23
Matías Agüero,4 estrellas,una semana atrás,Bariloche o barillatte como se ama ahora siempre me gustó tiene los mejores helados en córdoba a mi criterio y una muy buena atención por parte de los chicos.,Bernardo O'Higgins 2879
Julieta Liendo,5 estrellas,Hace 3 meses,"Excelente la atención de todos los empleados de esa sucursal. Super atentos, amables y siempre con una sonrisa. Se merecen el reconocimiento porque ademas de ser uno de los helados mas ricos, la atención tb suma.",Bernardo O'Higgins 2879
EDRIEL,5 estrellas,Hace 2 meses,MUY BUENA ATENCIÓN Y PROMOCIONES... CLIMATIZACIÓN EXCELENTE. EXCELENTE CALIDAD DE LOS PRODUCTOS. EL MEJOR SABOR ES EL DE FRUTILLA NEVADA CON SALSA DE FRUTILLA.,Bernardo O'Higgins 2879
Francisco Linares,5 estrellas,Hace un mes,"La señora que nos atendió, fue muy amable y educada, muy buena predisposición para atendernos. 3xcelente experiencia",Bernardo O'Higgins 2879
Lucas Querol,1 estrella,Hace 5 meses,Un desastre la comunicación el delivery. Responden cuando quieren. Me dijeron que tenían 1 hora de demora y pasaron mas de dos horas y el pedido no llegó. Es preferible que directamente te digan que no hacen delivery y no que te hagan perder tanto tiempo.,Bernardo O'Higgins 2879
Gerardo del Giorgio,5 estrellas,Hace 3 años,Gran sorpresa y alegro encontrar esta heladería Bariloche en zona sur. Excelentes sabores y como siempre muy buena las opción del 2x1 para aprovechar en familia o con amigos.,Bernardo O'Higgins 2879
Leoo Carpi,1 estrella,Hace 5 meses,"Imposible hacer un pedido por teléfono
Hay que hacerlo por WhatsApp y te dan todos los números de sus sucursales menos la de San Carlos.…",Bernardo O'Higgins 2879
Eliana Cupani,5 estrellas,Hace 9 meses,"Sus cremas son deliciosas,  tienen sabores diferentes a lo común.
Proponen distintas promos para dos.
No me queda cerca de casa, pero los elijo igual.…",Bernardo O'Higgins 2879
Mariano De Tomaso,5 estrellas,Hace 6 meses,"Muy buena atención de la vendedora,tremendos helados! muy recomendable!",Bernardo O'Higgins 2879
Paulo Padrós Garzón,5 estrellas,Hace 6 meses,"Ricos helados, gran variedad de sabores y excelente atención. Creo que ahora se llaman Barilate.",Bernardo O'Higgins 2879
ADS PRINT SOLUTIONS,5 estrellas,Hace 7 meses,"Lejos  el mejor  helado de  Cordoba !!!
Tradicional heladería de la zona sur !!!
50  años más o menos !!!
Dulce e de leche tentacion ,el helado !!!",Bernardo O'Higgins 2879
Graciela Susana Besteiro,5 estrellas,Hace 5 meses,Excelente la atención  de María Esther hace años que somos clientes,Bernardo O'Higgins 2879
Analia Pereyra,5 estrellas,Hace 5 meses,Muy ricos helados pero hay mucha espera . Es mucha gente para una sola empleada me pasó de esperar el sábado pasado y hoy media hora esperando para la atención la empleada excelente .,Bernardo O'Higgins 2879
Fernando Maximiliano Franz,5 estrellas,Hace 11 meses,"Muy ricos helados, con excelente atención en un lugar limpio, ordenado y cálido, muy buen local con productos de gran calidad y sabor",Bernardo O'Higgins 2879
Yvonne Ramasiglia,1 estrella,Hace un año,"Hoy hicimos un pedido,nunca salio para aca(45 min esperando) llamamos para cancelar y supuestamente ""no nos escuchaban"" [2 veces llamamos] entre medio de esas llamadas hicimos una llamada de prueba a un telefono nuestro y andaba bien el micro. Asique malisimo. Nada mas q decir.",Bernardo O'Higgins 2879
Martín García,5 estrellas,Hace 3 años,Excelente helado. Para mí es el más rico de la Ciudad.,Bernardo O'Higgins 2879
Javier Zurraco,5 estrellas,Hace 10 meses,"Muy ricos los helados, la atención fue muy amable y eficiente. Super cremosos!",Bernardo O'Higgins 2879
Claudio Páez,1 estrella,Hace 2 años,"Mala atención del personal. Fui a comprar a las 23.45hs y me cerraron la puerta en la cara, y bajaron las persianas del local rápidamente. Entiendo que el personal quiere irse, pero estamos en época de verano y las mayoría de las heladerías…",Bernardo O'Higgins 2879
Flor Zanino,5 estrellas,Hace 6 meses,"La mujer que nos atendió el domingo a las 11:40 de la noche, nos atendió con la mejor actitud, una genia ❤️‍🩹…",Bernardo O'Higgins 2879
mario martin Sosa,1 estrella,Hace 2 años,"Los helados son ricos, pero hoy fui quise entrar con mi perro en brazos, un perro de raza pequeña que no creo le pueda molestar a nadie. Por este motivo no vuelvo a comprar más. Mi perro es mi compañero soy una persona sola lamento su política Anti animales. Pero le digo adiós a Bariloche!!!",Bernardo O'Higgins 2879
Omar Gutierrez,5 estrellas,Hace un año,"Excelentes Helados, súper ricos y los mejores de la zona en relación precio calidad!! Además su atención es buenísima. Esteban es súper amable y muy buena onda!! Muy recomendables!",Bernardo O'Higgins 2879
daniel ibañez,5 estrellas,Hace un año,"Le doy 5 estrellas por el producto.
Me molestó un poco esperar 25 minutos a que la única persona que cobraba y preparaba los pedidos me atendiera.
Igual agradezco la voluntad y amable atencion.",Bernardo O'Higgins 2879
Maria Alejandra Abburrá,1 estrella,Hace un año,"Que les ha pasado a estos helados? Eran riquísimos
El de Quinoto  que era una exquisitez lo cambiaron totalmente
Han bajado la calidad una pena",Bernardo O'Higgins 2879
Irene,5 estrellas,Hace 8 meses,Muy ricos!!! Muy buena higiene y  excelente atención.,Bernardo O'Higgins 2879
Gerardo Misetich,4 estrellas,Hace 2 años,Soy cliente del lugar y el helado es excelente.Ayer sábado fui al local y estaban discutiendo un cliente con el encargado o dueño del local.Estuvieron más de 15 minutos en esa situación y parecía una pelea callejera a tal punto que no…,Bernardo O'Higgins 2879
diego cavs,1 estrella,Hace un año,"pedi por pedido ya y me cambiaron el horario 3 veces ,desconozco como es presencialmente pero por pedido ya nunca mas.",Bernardo O'Higgins 2879
Andrea Gabriela,4 estrellas,Hace 5 años,Excelente calidad del producto. Uno de los helados artesanales más ricos de la ciudad de Córdoba. Precios acordes a la calidad del producto. Promo 2x1 solamente realizando compra en sus locales. No válidas para delivery.,Bernardo O'Higgins 2879
Nerea Tabaré,5 estrellas,Hace un año,Desde pequeña me llevaban h era muy ricos y ahora estan iguales!! Ri QUI SI MOS! LOS MEJORES!,Bernardo O'Higgins 2879
Federico Ponce de León,5 estrellas,Hace 6 años,"Para mi gusto, es de los mejores helados de Córdoba. Disponen de variados gustos, además de postres helados, palitos, etc. Cordial atención. Tienen la promoción de 2 X 1, como así también algunos up-grade.",Bernardo O'Higgins 2879
lola saravia,4 estrellas,Hace 5 años,"Helados muy ricos en los cuales se nota el sabor y la calidad. Sobre el lugar, es pequeño pero lindo. Muy buena atención las empleadas de la noche",Bernardo O'Higgins 2879
Carolina Romero,5 estrellas,Hace 2 años,"Amo Bariloche,la textura de sus sabores son incomparables. Lejos la mejor heladería.
Lastima.... que no llegan con el deliveri para mi casa.",Bernardo O'Higgins 2879
Vero Arroyo,5 estrellas,Hace 4 años,"Cremas heladas con excelente materia prima,las cremas son exquisitas tienen muchos frutos secos o chocolate o fruta según el sabor,posee delivery,y los precios son un poco más que otras heladerías populares pero su producto lo vale, tiene promociones también, más que conforme con el producto y atención 😋😍…",Bernardo O'Higgins 2879
luciana mora,5 estrellas,Hace 6 años,"Una de las mejores heladerías de Córdoba. Sabores tradicionales y con verdadero gusto. Varias sucursales en la ciudad y buena atención. Aprovechar la promo 2x1 solo en sucursales no válida para delivery. Los sabores más ricos son: chocolate, mascarpone y kricoreo.",Bernardo O'Higgins 2879
Rodrigo Maestre,3 estrellas,Hace 2 años,"Buena calidad de helados ,pero en pleno verano dejan un solo empleado,esta ves con muy buena predisposición!!! Mucha gente esperando!!!",Bernardo O'Higgins 2879
Matias Giunta,1 estrella,Hace 6 años,Cambien el horario Ya que dice hasta 00.30 y cierran a las 00 hs. No compro más me voy a grido a 50 mts que me atienden excelente y no me hechan de la puerta del local.…,Bernardo O'Higgins 2879
Rach Card,4 estrellas,Hace 5 años,"Cremas heladas muy ricas. Pero a pesar que está la promoción pagando por ej 1/4 te llevás 1/2 kilo, el precio es muy caro comparando con la competencia tan popular que tiene miles de franquicias.",Bernardo O'Higgins 2879
El patron,5 estrellas,Hace 2 años,"Muy buena atención, y muy rico el helado",Bernardo O'Higgins 2879
Marcelo Barrios,3 estrellas,Hace 2 años,"La atención y los helados espectaculares,  lastima la poca gente que emplean, tenes que esperar mucho siempre, recién estuve casi 30 minutos para comprar, 1 sola persona atendiendo, cobrando y sirviendo",Bernardo O'Higgins 2879
Ornella,5 estrellas,Hace 5 años,"Exelente el helado y la atención, lo único deberían poner aunque sea una persona más para atender,estaba un solo chico atendiendo y había mucha gente !!!",Bernardo O'Higgins 2879
Sabri Sosa,5 estrellas,Hace 2 años,"El mejor  helado para mi gusto. En esta sucursal siempre son re atentos los chicos, recomiendo tambien las tortas heladas o postres porque estan bárbaros",Bernardo O'Higgins 2879
Valeria Vanay,4 estrellas,Hace 3 años,"Buena atención y protocolo.
Gran variedad de sabores.
Poco espacio para sentarse en el lugar a disfrutar del helado.",Bernardo O'Higgins 2879
Patricia Garay,1 estrella,Hace 3 años,"DESASTREEEEE. No pongo 0 porq no hay opción.  Los helados son muy ricos pero el servicio al cliente , el sistema de delivery malísimo, de una irresponsabilidad en el compromiso con el cliente descomunal. Nunca más.",Bernardo O'Higgins 2879
Francisco Heredia,5 estrellas,Hace un año,"Espectacular el helado, muy rico",Bernardo O'Higgins 2879
Ivan Spezia,5 estrellas,Hace un año,El chocolate Bariloche es el mejor chocolate de Córdoba. La calidad de los sabores es increíble.,Bernardo O'Higgins 2879
Cristian Garcia,4 estrellas,Hace 7 años,"Limpio, agradable ambiente,  muy poco personal para tanta demanda y poca iluminación  al rededor. muy buena atención.   En cuanto a calidad del producto para mi gusto, excelente.             .                        .                  .           .              .          .",Bernardo O'Higgins 2879
BEATRIZ Romero,5 estrellas,Hace un mes,Fuimos a tomar un rico helado con mi esposo,Bernardo O'Higgins 2879
Matías Peralta,5 estrellas,Hace 2 años,"Excelente atención, el helado es increíble. Somos fanáticos del dulce de leche tentación!",Bernardo O'Higgins 2879
Juan Avalos,4 estrellas,Hace 4 años,"Tienen mil veces mejor atención que el grido de ahí cerca, los helados son más ricos tienen un sabor y una textura que los hace diferente quizás sean un poquito más caro pero la calidad lo compensa. Larga vida a Bariloche",Bernardo O'Higgins 2879
Carolina Menseguez,1 estrella,Hace 5 años,Muy mala atención  de la señora... la verdad q debería ser más amable. El helado exquisito,Bernardo O'Higgins 2879
Laura C Iba (lauryta),2 estrellas,Hace 5 años,"El helado rico como siempre, pero me atendió una chica que no sabía hacer la bocha y ni idea de lo que había pagado. Horrible el bañado que me hizo, chiquito y todo chorreado.",Bernardo O'Higgins 2879
Anto Rosso,1 estrella,Hace 6 años,"Llegamos a la 1 de la mañana y decian que estaba cerrado. Cuando en todos lados dice que cierra a la 1.30... cero ganas de laburar, pesima atencion y forma de contestar. La verdad in desastre este local. Me da pena que una marca tan…",Bernardo O'Higgins 2879
Andrea Moyano,4 estrellas,Hace 2 años,Buena atención.. Y los helados riquísimos .. Chocolate 🍫 amargo mi preferido.…,Bernardo O'Higgins 2879
Caaro2665,5 estrellas,Hace 6 años,Excelente lugar para disfrutar un rico helado! Y también para trabajar! Muy buenas amistades me llevé de mi experiencia en Bariloche!!! La sucursal de URCA la mejor😊…,Bernardo O'Higgins 2879
Claudia Fabiani,5 estrellas,Hace 4 años,Muy buena atención y los helados la mejor calidad! Un poco Carito pero bueno..... Todo aumenta,Bernardo O'Higgins 2879
Emilio Chaer,3 estrellas,Hace un año,Buena atención  por personal heladería chica,Bernardo O'Higgins 2879
Juan Siravegna,3 estrellas,Hace 4 años,la atencion del personal mas o menos y los precios no los tienen bien claros el lugar para tomar afuera el helado excelente hay bastante espacio,Bernardo O'Higgins 2879
juan manuel Armanelli,5 estrellas,Hace 6 años,"Buena atención y buenos helados.
Hay promociones de 2 por 1 que me parece bien. Recomendable.",Bernardo O'Higgins 2879
Georgina Hormaeche,4 estrellas,Hace 2 años,"Hay que estar seguros que te pongan el sabor que pediste, además el servicio de delivery tiene un horario muy acotado, siendo que estoy a pocas cuadras.",Bernardo O'Higgins 2879
Soledad Nasif,1 estrella,Hace 5 años,"Carísimo!!! 1kilo $530; 2kilos $950!!!!
Tienen pepitas de oro los helados?? 😯
Sin perjuicio de que sean riquísimos...
Ya ni helado podremos tomar!…",Bernardo O'Higgins 2879
maria lea moran montequin,5 estrellas,Hace 3 años,"Como siempre que he ido, muy buen atención, rápida, y me gusta la calidad de los productos que ofrece siendo los precios acorde a los mismos.",Bernardo O'Higgins 2879
Edith Francisca Figueroa,5 estrellas,Hace 3 años,"Una heladería como cualquier otra, y hasta pequeña... Pero los helados son de rechupete, realmente valen la pena, son una delicia! Para recomendar. 🙌…",Bernardo O'Higgins 2879
Milena Mo,3 estrellas,Hace 2 años,"Siempre ricos helados... domingo a la noche un solo empleado para atención y para delivery..pobre, estaba a full",Bernardo O'Higgins 2879
Martin Gonzalez,5 estrellas,Hace 6 años,Muy rico helado y la atención mejoro mucho.,Bernardo O'Higgins 2879
Nina Costa,5 estrellas,Hace 5 años,La mejor heladería para mí gusto. Riquísimos sabores y variedad. Precio razonable de acuerdo al producto que ofrecen. Lo recomiendo.,Bernardo O'Higgins 2879
Ramón Miguel Sendin,4 estrellas,Hace 2 años,"Muy buenos helados ,  variedad , calidad y precio",Bernardo O'Higgins 2879
Napo Leon,1 estrella,Hace 3 años,"Pésima atención, fui a comprar a las 23.45 y no me querían atender xq decían que ya estaba cerrado cuando el horario de cierre es a las 24, y no me querían vender solo helado envasado",Bernardo O'Higgins 2879
Cecilia Rodriguez,5 estrellas,Hace 7 años,"Buena atención, muy limpio, muy bien climatizado el local. Se notaba un lindo clima de trabajo entre los empleados, es bueno entrar a un lugar con un ambiente positivo",Bernardo O'Higgins 2879
Walter Gómez,4 estrellas,Hace 5 años,"Es cuestión de gusto la elección del helado, tienen muy buena y rápida atención y ahora por la app rápido el delivery mantiene las ofretas",Bernardo O'Higgins 2879
Andrea Arguello,4 estrellas,Hace un año,Excelente calidad de productos. Riquísimas cremas heladas.,Bernardo O'Higgins 2879
Barby Ribodino,5 estrellas,Hace 2 años,"Riquísimo helado, solo le falta agregar pistacho y sin dudas no iría a otra heladería.",Bernardo O'Higgins 2879
Gonzalo Bazán,5 estrellas,Hace 7 años,"Los precios son algo más caros que en otras heladerías pero lo valen porque son los mejores helados de la zona.
Los empleados siempre muy atentos.",Bernardo O'Higgins 2879
Fernando Ezequiel Cortes,5 estrellas,Hace 5 años,Excelente atencion y los helados riquisimos,Bernardo O'Higgins 2879
Pedro Ruiz Diaz,4 estrellas,Hace 10 meses,"Lugar limpio, ordenado, con AC, algunas mesitas y dispenser de agua. Todo lo que un buen fan de los helados necesita.",Bernardo O'Higgins 2879
miriam ofelia flores,5 estrellas,Hace 2 años,Rápida atención y muy buen helado,Bernardo O'Higgins 2879
JORGE BENIGNANO,4 estrellas,Hace 3 años,"Me encanta este helado. Excelente sabor!!!
Nada que ver a Grido con sabor orrendo.",Bernardo O'Higgins 2879
Miguel Aguirre,4 estrellas,Hace 5 años,"Muy buena calidad de producto, atención normal sin destacar.
El local bien presentado, precios acorde a la calidad del helado.",Bernardo O'Higgins 2879
Rodrigo Respini,5 estrellas,Hace un año,Muy ricos los helados!!!,Bernardo O'Higgins 2879
Sergio G Chehda,5 estrellas,Hace un año,Los mas ricos helados de Córdoba  y tiene una oferta  especial. Recomiendo Frutos Andinos y Frutilla a la crema,Bernardo O'Higgins 2879
Pablo Fernando Moreno Gallo,4 estrellas,Hace 3 años,"Muy buen helado, un poco caro pero muy rico.",Bernardo O'Higgins 2879
Juan Pablo Del Riego,5 estrellas,Hace 4 años,"En lo personal, los helados mas ricos precio/calidad. Atencion rapida y cordial.",Bernardo O'Higgins 2879
martin molina,3 estrellas,Hace 5 años,A MEJORAR MUCHÍSIMO LA ATENCIÓN MUY MALA ONDA CARAS DE CUL.. 09/11/19 a las 18hs el helado excelente como SIEMPRE,Bernardo O'Higgins 2879
Jose Baliño,4 estrellas,Hace 5 años,Muy buenos los Helados..Excelente,Bernardo O'Higgins 2879
Dana Chaih,5 estrellas,Hace 2 años,"Excelente atención, helados muy ricos, precios acorde",Bernardo O'Higgins 2879
NIKO P!RAT4,5 estrellas,Hace un año,Buena atención y muy ricos sabores,Bernardo O'Higgins 2879
Maximiliano Di Nardo,4 estrellas,Hace 2 años,Muy rico sabor de helados. Con la textura justa.,Bernardo O'Higgins 2879
veronica vera,5 estrellas,Hace un año,"Desde siempre, muy buenos helados",Bernardo O'Higgins 2879
franco ortega,3 estrellas,Hace 5 años,Los helados son ricos...pero fui a comprar y no me vendieron medio kilo de helado que cuesta 300 pesos por que no tenian cambio....,Bernardo O'Higgins 2879
Marian Silva,5 estrellas,Hace 3 años,Ricos helados y muy buena atención.,Bernardo O'Higgins 2879
Isabel María Pino,5 estrellas,Hace un año,El día por uno ayuda a comer un muy rico helado a buen precio,Bernardo O'Higgins 2879
Alma Torres,5 estrellas,Hace 2 años,Aparte de que es un helado súper rico la atención es increíble,Bernardo O'Higgins 2879
MIGUEL ANGEL ORTIZ MORAN,5 estrellas,Hace 5 años,El helado es de excelente calidad y tienen una promoción 2 x 1 a buen precio,Bernardo O'Higgins 2879
Mario Bufe,5 estrellas,Hace 7 años,Buenos helados muy ricos,Bernardo O'Higgins 2879
Ivan Simbron,4 estrellas,Hace un año,Buen precio y muy buen servicio rico producto,Bernardo O'Higgins 2879
diego andrades,5 estrellas,Hace 2 años,"Excelente atención  de los chicos..
Y las cremas heladas.lejos las mejores de cordoba..",Bernardo O'Higgins 2879
Claudia Cardona (Lola),5 estrellas,Hace 3 años,"Los helados más ricos de Córdoba, excelente variedad y atención. Y con promo!",Bernardo O'Higgins 2879
VICKY NOBILE,4 estrellas,Hace 5 años,"Muy buena atencion, deliciosos helados",Bernardo O'Higgins 2879
Juan Pablo Leal,3 estrellas,Hace 3 años,"Muy rico helado, pero con precios muy caros.",Bernardo O'Higgins 2879
